,loss,acc,f1,kappa
0,1.153927958,0.255018029,0.238075639,0.002965001
1,1.143865757,0.264870793,0.243039848,0.010741603
2,1.135419234,0.275366587,0.247094924,0.018192879
3,1.127904757,0.288491587,0.255334554,0.02800591
4,1.121210959,0.309089543,0.264811838,0.038831657
5,1.114168244,0.334546274,0.279816162,0.052913834
6,1.107329964,0.361595553,0.298843991,0.069919797
7,1.099267866,0.39992488,0.328649841,0.091678264
8,1.092421772,0.450673077,0.374659687,0.118727784
9,1.084811255,0.497938702,0.423828908,0.146570567
10,1.077728467,0.538389423,0.469811648,0.172406302
11,1.0715584,0.56140024,0.496088792,0.19561307
12,1.06752246,0.604131611,0.552043472,0.213355715
13,1.063647064,0.607202524,0.552514718,0.229920441
14,1.05681135,0.644017428,0.605318077,0.243682851
15,1.052683195,0.675928486,0.659838026,0.243477096
16,1.045765847,0.670420673,0.645151653,0.256989251
17,1.034954832,0.691171875,0.681733821,0.257836425
18,1.026816649,0.70625,0.708435278,0.260088803
19,1.017262114,0.716334135,0.731760119,0.249819077
20,1.004038965,0.724513221,0.746000369,0.253649619
21,0.991961475,0.728801082,0.762443821,0.235352679
22,0.976525182,0.745408654,0.771503196,0.289606457
23,0.959816695,0.742412861,0.771665798,0.275520336
24,0.947127968,0.74421274,0.778892391,0.266461542
25,0.939941551,0.74210637,0.763081226,0.295318397
26,0.920642051,0.726051683,0.747847981,0.257436766
27,0.911177402,0.735525841,0.776393113,0.232534838
28,0.900774319,0.743350361,0.775861949,0.273151615
29,0.892600202,0.726027644,0.758899406,0.235630769
30,0.882320449,0.734786659,0.776674752,0.231949742
31,0.86937071,0.72155649,0.771440165,0.186518619
32,0.863595194,0.735820313,0.760692518,0.273934076
33,0.851925389,0.716496394,0.749946449,0.218898159
34,0.846220401,0.723305288,0.748253961,0.250415672
35,0.834633752,0.713004808,0.721292237,0.267160942
36,0.820593382,0.710537861,0.731629183,0.238978498
37,0.815149013,0.697695313,0.725482832,0.205081297
38,0.807754632,0.704462139,0.72211856,0.238884361
39,0.804123258,0.69148738,0.717491751,0.210900418
40,0.797322792,0.692121394,0.716128046,0.207497501
41,0.797628522,0.697403846,0.731997612,0.198901898
42,0.785305203,0.670321514,0.689023761,0.191475059
43,0.774981885,0.653617788,0.652108393,0.21047212
44,0.778311206,0.685348558,0.709649184,0.200982259
45,0.778425746,0.675198317,0.704677881,0.182439238
46,0.766927802,0.654447115,0.661669195,0.194182794
47,0.758279093,0.652971755,0.667253281,0.16947718
48,0.758409779,0.672334736,0.714257334,0.160991817
49,0.753038969,0.656766827,0.667326743,0.189603671
50,0.741504621,0.650354567,0.65471322,0.189046381
51,0.751186685,0.641998197,0.648595494,0.178041331
52,0.737100283,0.660051082,0.682478838,0.173089368
53,0.742348237,0.66758113,0.683805214,0.195861358
54,0.726282643,0.652824519,0.671762471,0.161340248
55,0.721123703,0.636364183,0.628354867,0.202677397
56,0.733935838,0.660303486,0.67483734,0.188051065
57,0.709921365,0.655664063,0.673112015,0.177965429
58,0.711189502,0.658810096,0.690378983,0.149092421
59,0.711124776,0.650264423,0.658565443,0.197229404
60,0.706934097,0.653272236,0.665262158,0.196374891
61,0.7170965,0.666222957,0.703328458,0.158105893
62,0.698627076,0.619257813,0.611607148,0.185760039
63,0.691832709,0.662758413,0.68099941,0.189840198
64,0.696292033,0.663882212,0.682306224,0.195128871
65,0.698978746,0.643194111,0.65470711,0.174253402
66,0.689118766,0.657232572,0.683987154,0.153338655
67,0.678671729,0.637914663,0.647843667,0.168671453
68,0.680985257,0.630703125,0.633537636,0.171671087
69,0.689142757,0.644513221,0.657929185,0.171301111
70,0.68648443,0.655991587,0.679116613,0.153306333
71,0.676636903,0.591634615,0.568337672,0.167484414
72,0.670695796,0.665255409,0.694423465,0.158973994
73,0.673697471,0.629663462,0.632744047,0.174259869
74,0.663310569,0.631742788,0.632916922,0.177191088
75,0.672075711,0.650603966,0.670459753,0.167385138
76,0.666909412,0.649008413,0.675497721,0.150024398
77,0.662832896,0.615510817,0.626032847,0.13096097
78,0.664626552,0.655069111,0.675971023,0.162076396
79,0.661133268,0.615363582,0.622715207,0.140120638
80,0.657168221,0.643296274,0.645859601,0.189983361
81,0.652660257,0.636865986,0.650859654,0.157768494
82,0.654917239,0.618031851,0.623444535,0.1482194
83,0.655516392,0.678449519,0.709571881,0.197072933
84,0.646881524,0.63991887,0.665383395,0.141541875
85,0.651171636,0.61367488,0.60902903,0.155760662
86,0.647483177,0.638509615,0.635827003,0.193697762
87,0.647014416,0.649110577,0.685768857,0.139851598
88,0.63929569,0.65758113,0.66997416,0.195246418
89,0.644688562,0.610724159,0.610379318,0.153447582
90,0.632298122,0.621920072,0.624009091,0.171240869
91,0.626305048,0.637614183,0.643495943,0.178984526
92,0.628569305,0.635093149,0.645308254,0.168631247
93,0.632912802,0.629092548,0.646803288,0.136059936
94,0.628582577,0.622998798,0.615591804,0.180727174
95,0.617235181,0.648879207,0.660152938,0.196384406
96,0.628808483,0.637271635,0.657099482,0.145287228
97,0.626676306,0.629356971,0.627666339,0.17054273
98,0.62774538,0.625021034,0.638218971,0.131387035
99,0.61599885,0.635303486,0.658046934,0.145983048
